1000 4 500
0.791002 0.422429 0.494690 0.404908
0.675119 0.411135 0.431786 0.406009
0.719308 0.358669 0.477635 0.345674
0.751866 0.458287 0.566098 0.516492
0.776703 0.350289 0.550621 0.393409
0.744800 0.419487 0.637033 0.347972
0.822641 0.514146 0.515600 0.241188
0.762144 0.473155 0.490563 0.320327
0.755848 0.374560 0.456809 0.462342
0.747395 0.428569 0.495802 0.427997
0.670565 0.425581 0.507904 0.384155
0.737736 0.480164 0.493315 0.418828
0.792230 0.497543 0.548330 0.455023
0.733446 0.485998 0.564738 0.424590
0.746531 0.386728 0.430438 0.426260
0.670236 0.443758 0.579008 0.511517
0.780311 0.511232 0.568082 0.416726
0.904497 0.390867 0.477666 0.447853
0.782877 0.334149 0.543289 0.401441
0.716866 0.481779 0.548378 0.277157
0.682205 0.471780 0.587418 0.487556
0.821025 0.423937 0.493109 0.409687
0.626182 0.433771 0.505482 0.403466
0.848458 0.414014 0.537502 0.309119
0.803902 0.453984 0.595393 0.443394
0.819602 0.479893 0.464230 0.367580
0.758597 0.447340 0.592712 0.427785
0.737540 0.563994 0.488155 0.415384
0.714636 0.477459 0.535974 0.395972
0.755010 0.397059 0.516945 0.407965
0.783109 0.422735 0.503530 0.355726
0.742171 0.553609 0.471276 0.370077
0.736638 0.445645 0.525803 0.460330
0.850337 0.432373 0.506795 0.388862
0.768333 0.473382 0.523359 0.398010
0.697214 0.436053 0.547446 0.328577
0.730162 0.434381 0.426688 0.419420
0.679805 0.445314 0.586795 0.423757
0.693118 0.428425 0.483910 0.487249
0.738518 0.422248 0.541188 0.287087
0.673109 0.520580 0.622508 0.426380
0.737185 0.434829 0.516404 0.404852
0.688477 0.411566 0.420281 0.391165
0.793695 0.366234 0.527179 0.401356
0.777030 0.505202 0.566069 0.438783
0.729320 0.423898 0.457855 0.435854
0.753108 0.485916 0.522609 0.415904
0.694499 0.435022 0.508229 0.367031
0.771574 0.402492 0.585678 0.326263
0.835267 0.417051 0.511179 0.383448
0.715744 0.435446 0.554882 0.287870
0.743598 0.434590 0.509525 0.438598
0.786687 0.432410 0.524108 0.435146
0.680129 0.404199 0.539734 0.371838
0.845416 0.407544 0.496973 0.345001
0.697975 0.337648 0.502264 0.344135
0.734832 0.496972 0.553989 0.480999
0.697608 0.434215 0.573536 0.383501
0.794049 0.338725 0.551939 0.389938
0.726850 0.471661 0.543963 0.414975
0.818099 0.443908 0.521434 0.325738
0.783472 0.406030 0.535376 0.419848
0.740494 0.496209 0.526987 0.428504
0.827728 0.446274 0.512716 0.367969
0.546247 0.248919 0.699463 0.570877
0.598709 0.233272 0.698994 0.596499
0.551256 0.224296 0.807978 0.543975
0.607993 0.213500 0.799601 0.556451
0.493089 0.170179 0.787611 0.543211
0.614608 0.224104 0.779366 0.627678
0.601051 0.285161 0.713127 0.560598
0.534182 0.233900 0.773560 0.470349
0.497437 0.308152 0.740872 0.576103
0.590659 0.263385 0.807135 0.495708
0.441929 0.237881 0.831268 0.644361
0.462232 0.247253 0.759792 0.544333
0.459556 0.211986 0.721740 0.512278
0.572432 0.200187 0.695632 0.532527
0.500453 0.167531 0.804935 0.463697
0.553491 0.224134 0.822604 0.547541
0.618829 0.197799 0.730053 0.611101
0.511358 0.172923 0.663887 0.466034
0.559012 0.307172 0.828938 0.540688
0.460707 0.147899 0.709461 0.488463
0.541502 0.166400 0.699107 0.530230
0.473023 0.281270 0.739739 0.553371
0.561681 0.111724 0.788611 0.472216
0.541103 0.274929 0.714716 0.509511
0.584303 0.274595 0.686118 0.542468
0.491501 0.210597 0.830722 0.463871
0.544861 0.227367 0.751313 0.553602
0.557532 0.207193 0.760250 0.479935
0.576086 0.195719 0.705078 0.496351
0.497864 0.186256 0.790982 0.572520
0.557722 0.300250 0.747307 0.564746
0.478774 0.198543 0.773521 0.409832
0.509704 0.114756 0.811255 0.530311
0.502752 0.209612 0.664949 0.550124
0.538683 0.265280 0.740695 0.593173
0.498854 0.140588 0.685410 0.492260
0.481984 0.230787 0.717890 0.558922
0.537291 0.231044 0.759898 0.504074
0.587430 0.229169 0.796537 0.537715
0.529878 0.213627 0.740714 0.553485
0.467454 0.186993 0.849584 0.495513
0.459427 0.202579 0.751948 0.489590
0.522104 0.203807 0.691073 0.487065
0.493037 0.157922 0.771031 0.567104
0.577047 0.303501 0.679821 0.560783
0.485744 0.223545 0.778342 0.471909
0.595322 0.196654 0.809191 0.514288
0.529664 0.241738 0.631088 0.588680
0.569490 0.279648 0.863904 0.504152
0.478468 0.261613 0.742596 0.576152
0.477639 0.238900 0.711614 0.570708
0.469517 0.230757 0.806211 0.531873
0.511033 0.234479 0.757093 0.495640
0.544991 0.290005 0.670325 0.546499
0.541989 0.253936 0.746292 0.493098
0.479598 0.261052 0.748386 0.422547
0.448471 0.191343 0.723014 0.483896
0.477469 0.222528 0.786774 0.587441
0.481247 0.124525 0.750362 0.558035
0.518942 0.262764 0.783935 0.596537
0.504729 0.192351 0.755014 0.481337
0.625683 0.232719 0.786627 0.560303
0.558908 0.301100 0.716554 0.471355
0.505987 0.212831 0.764900 0.522397
0.608535 0.247051 0.736822 0.643997
0.504680 0.229949 0.734618 0.548640
0.552567 0.238562 0.711350 0.556789
0.573410 0.138389 0.809380 0.510215
0.591156 0.164367 0.827449 0.551256
0.586166 0.256685 0.731324 0.595054
0.557369 0.238012 0.728174 0.506053
0.486622 0.258850 0.746383 0.521813
0.511710 0.194822 0.771338 0.507482
0.518039 0.278536 0.640761 0.519920
0.490055 0.227215 0.669282 0.635674
0.431876 0.278150 0.774759 0.457526
0.519198 0.233719 0.738569 0.593464
0.551021 0.110751 0.715558 0.523762
0.510736 0.240153 0.802658 0.486089
0.517274 0.278830 0.844440 0.473999
0.528857 0.214819 0.639316 0.453085
0.532997 0.275090 0.734586 0.580669
0.501070 0.248882 0.691486 0.482005
0.548629 0.106646 0.778398 0.410793
0.560163 0.158332 0.726893 0.604150
0.511548 0.174899 0.743790 0.532944
0.437257 0.216517 0.750403 0.491399
0.539210 0.198724 0.757644 0.565306
0.535425 0.227230 0.809155 0.537110
0.586561 0.207735 0.736042 0.544001
0.508333 0.067591 0.701246 0.562290
0.561612 0.216225 0.785260 0.522244
0.527516 0.095991 0.773755 0.605367
0.537883 0.242708 0.780926 0.568822
0.509971 0.277547 0.780440 0.568156
0.569690 0.221057 0.703320 0.499973
0.520899 0.214647 0.757765 0.592743
0.502906 0.203098 0.726996 0.565697
0.504403 0.237057 0.731380 0.540873
0.425606 0.271026 0.821996 0.471742
0.494841 0.209645 0.751640 0.569989
0.572788 0.249159 0.756399 0.447043
0.497697 0.234751 0.745430 0.432029
0.584732 0.218969 0.718394 0.549200
0.523208 0.170098 0.735671 0.506871
0.518683 0.222563 0.690704 0.489235
0.586337 0.247659 0.842801 0.420682
0.494660 0.237202 0.647384 0.463187
0.545859 0.145747 0.750195 0.474245
0.564290 0.069640 0.858846 0.575286
0.592776 0.336671 0.742025 0.622531
0.505462 0.247327 0.743433 0.481896
0.605471 0.292741 0.851650 0.519949
0.479348 0.165394 0.721380 0.495206
0.545911 0.184914 0.833091 0.539417
0.570407 0.273722 0.792910 0.487661
0.610614 0.215498 0.628303 0.515432
0.486315 0.328030 0.747244 0.521124
0.457857 0.233452 0.795938 0.510470
0.570109 0.211013 0.725809 0.612310
0.497878 0.253321 0.802130 0.551784
0.515220 0.191100 0.772435 0.460291
0.500418 0.249483 0.760088 0.568652
0.531373 0.134680 0.826942 0.444976
0.546097 0.216937 0.744708 0.576941
0.552138 0.186370 0.691908 0.540924
0.525885 0.195553 0.757694 0.560505
0.517330 0.203366 0.787951 0.511208
0.593203 0.216747 0.785571 0.583465
0.593979 0.273458 0.693926 0.485854
0.507559 0.205938 0.799403 0.537223
0.490934 0.268990 0.731472 0.515541
0.512346 0.282303 0.730174 0.523039
0.579795 0.253515 0.783986 0.481438
0.432667 0.183611 0.773851 0.415656
0.484562 0.325588 0.741127 0.466581
0.588892 0.259468 0.711743 0.467528
0.513261 0.193296 0.641706 0.556751
0.531468 0.202663 0.698756 0.592125
0.518654 0.181350 0.777100 0.451885
0.493527 0.222035 0.720450 0.475548
0.623031 0.238780 0.794639 0.435591
0.452555 0.233879 0.728879 0.435244
0.489648 0.213626 0.726665 0.521831
0.510402 0.205311 0.760150 0.483002
0.561541 0.247760 0.765773 0.535961
0.517057 0.191598 0.745381 0.544949
0.460646 0.258820 0.722633 0.559511
0.538736 0.221997 0.784513 0.479484
0.547781 0.206678 0.835454 0.524490
0.524575 0.279580 0.718766 0.462668
0.566096 0.212239 0.788305 0.580904
0.636635 0.219654 0.783979 0.552709
0.531392 0.184580 0.772349 0.480952
0.502781 0.342040 0.787248 0.370776
0.440461 0.213542 0.736244 0.427213
0.511422 0.220475 0.787265 0.519223
0.527863 0.251407 0.857197 0.515991
0.535895 0.254494 0.749786 0.599985
0.488031 0.343934 0.819638 0.603772
0.479534 0.174108 0.831709 0.477031
0.401778 0.167936 0.739572 0.531424
0.569100 0.161797 0.790176 0.551357
0.541503 0.214084 0.793352 0.514867
0.589507 0.141675 0.868942 0.586367
0.528521 0.135554 0.819044 0.500657
0.513093 0.226085 0.746850 0.500365
0.635032 0.240516 0.716860 0.535661
0.461538 0.097079 0.755275 0.495571
0.438765 0.256166 0.791653 0.476875
0.523548 0.181856 0.720124 0.572554
0.487340 0.220749 0.812751 0.541755
0.451630 0.297811 0.748067 0.499184
0.511183 0.204695 0.709446 0.496461
0.417721 0.231806 0.725648 0.515499
0.483674 0.178589 0.705805 0.475744
0.433061 0.260470 0.827577 0.613215
0.577540 0.243685 0.632957 0.569968
0.533878 0.182051 0.717005 0.506522
0.602317 0.234122 0.813393 0.486655
0.492847 0.235938 0.761239 0.477830
0.475711 0.323086 0.758641 0.536565
0.513157 0.160906 0.831524 0.530998
0.440524 0.200093 0.768491 0.563747
0.477352 0.277050 0.788595 0.498556
0.536268 0.182810 0.754980 0.523047
0.467784 0.211643 0.674847 0.496986
0.526188 0.238034 0.782681 0.515473
0.561719 0.177044 0.728527 0.493099
0.467899 0.193434 0.807611 0.576650
0.508613 0.160497 0.822752 0.477430
0.531680 0.255623 0.723411 0.589510
0.558750 0.151302 0.790636 0.532262
0.550983 0.282992 0.747239 0.557753
0.499580 0.239357 0.811328 0.507385
0.510999 0.251054 0.671480 0.515244
0.617882 0.237428 0.684827 0.520294
0.454785 0.307863 0.824897 0.598570
0.527748 0.260882 0.800442 0.435020
0.609615 0.218380 0.804514 0.430502
0.521822 0.186892 0.809591 0.591466
0.535228 0.272682 0.830100 0.470327
0.529435 0.331676 0.767516 0.595864
0.457454 0.182926 0.760694 0.571289
0.500401 0.157032 0.793663 0.486222
0.510880 0.274611 0.855389 0.486467
0.501601 0.206174 0.719523 0.505841
0.427725 0.246649 0.742518 0.525557
0.516981 0.187222 0.760955 0.526484
0.448908 0.165915 0.725480 0.465841
0.545318 0.236768 0.812552 0.476109
0.495621 0.249436 0.750416 0.461379
0.480257 0.243832 0.847524 0.479183
0.523661 0.209766 0.742827 0.609331
0.535243 0.193264 0.674623 0.566201
0.505770 0.235522 0.798199 0.562637
0.573147 0.202717 0.827729 0.511556
0.448525 0.183264 0.744469 0.536414
0.551941 0.248718 0.753827 0.544092
0.472574 0.248836 0.779446 0.598259
0.576373 0.198488 0.768221 0.487498
0.485987 0.169675 0.673528 0.470914
0.466304 0.163006 0.695364 0.568438
0.584326 0.255679 0.717940 0.595297
0.519883 0.243334 0.832847 0.659508
0.494402 0.233839 0.718545 0.501793
0.549843 0.163437 0.720894 0.543393
0.518170 0.284828 0.749407 0.508720
0.564544 0.246241 0.795201 0.514420
0.481711 0.214372 0.752103 0.515945
0.502564 0.181354 0.752610 0.576427
0.544048 0.218256 0.706561 0.569333
0.415555 0.180007 0.694033 0.522458
0.586599 0.125095 0.744762 0.518173
0.521371 0.254671 0.836077 0.498637
0.533371 0.237225 0.804692 0.582192
0.370618 0.233948 0.652797 0.513261
0.577752 0.247677 0.705393 0.482623
0.475805 0.290167 0.745638 0.504065
0.525753 0.135224 0.723881 0.451407
0.592530 0.262531 0.750104 0.454879
0.574158 0.241925 0.783228 0.552469
0.552393 0.238456 0.735105 0.493461
0.530608 0.287818 0.861771 0.556513
0.526626 0.211793 0.795814 0.484707
0.520166 0.269382 0.718706 0.501223
0.416488 0.185906 0.708456 0.491436
0.527615 0.228564 0.687597 0.499586
0.516358 0.228212 0.704931 0.635058
0.561734 0.153055 0.741617 0.424066
0.568073 0.213897 0.790810 0.456210
0.489426 0.221582 0.716042 0.556646
0.573918 0.223725 0.724909 0.522091
0.489117 0.302150 0.798320 0.519748
0.506527 0.235166 0.714401 0.557885
0.504663 0.193386 0.742905 0.531449
0.566706 0.165078 0.684966 0.518322
0.602884 0.146628 0.792581 0.486706
0.657411 0.314038 0.767834 0.479250
0.524826 0.270144 0.779900 0.582691
0.563416 0.174325 0.766780 0.467859
0.560292 0.254421 0.774037 0.535185
0.578860 0.131319 0.716495 0.563788
0.557072 0.198006 0.701075 0.535613
0.553097 0.325157 0.753251 0.472321
0.517636 0.231456 0.781970 0.493650
0.511661 0.281439 0.751158 0.580007
0.453067 0.160352 0.830008 0.510108
0.529306 0.134347 0.850418 0.459172
0.473412 0.172624 0.829993 0.504083
0.550747 0.158056 0.703684 0.593194
0.541066 0.215226 0.820337 0.565149
0.603109 0.165748 0.710648 0.460554
0.562255 0.227847 0.674920 0.465553
0.494368 0.275385 0.701362 0.552690
0.532667 0.235537 0.709470 0.481864
0.571780 0.209024 0.790725 0.500214
0.495409 0.209782 0.723426 0.588507
0.429794 0.244115 0.786479 0.539932
0.486790 0.260583 0.733198 0.496658
0.488805 0.218814 0.752871 0.579254
0.560177 0.248961 0.787346 0.594473
0.420846 0.276439 0.797728 0.481548
0.593169 0.218534 0.632293 0.594475
0.533988 0.172674 0.705685 0.507400
0.572644 0.189776 0.708463 0.565773
0.471355 0.172247 0.787553 0.449571
0.505120 0.180292 0.795257 0.524578
0.448113 0.132215 0.807208 0.458723
0.553459 0.320308 0.642510 0.491698
0.504752 0.204118 0.785785 0.561948
0.468166 0.255038 0.725082 0.466097
0.377063 0.288873 0.807015 0.444155
0.525302 0.272744 0.766213 0.587680
0.533646 0.188322 0.728636 0.489631
0.516179 0.181413 0.765726 0.489641
0.625914 0.241917 0.717940 0.518972
0.598428 0.208989 0.769435 0.525823
0.498026 0.249955 0.826212 0.496513
0.467774 0.246154 0.817739 0.511814
0.546587 0.181292 0.804708 0.546613
0.484207 0.178075 0.775616 0.553829
0.532821 0.196289 0.800860 0.484019
0.551197 0.247451 0.824880 0.553426
0.576482 0.293171 0.696016 0.548355
0.440631 0.152770 0.821221 0.505084
0.507855 0.283460 0.728329 0.578849
0.535521 0.261250 0.662182 0.584970
0.498473 0.299493 0.745213 0.524705
0.554702 0.217908 0.785881 0.541771
0.637931 0.198394 0.758297 0.532611
0.496424 0.276257 0.780294 0.518585
0.550205 0.240846 0.791409 0.481943
0.565567 0.257493 0.792285 0.505884
0.664726 0.196277 0.854184 0.547082
0.421223 -0.006448 0.735660 0.601454
0.498397 0.244547 0.684133 0.487962
0.487495 0.179456 0.738774 0.496250
0.524182 0.161657 0.711669 0.460809
0.568053 0.236623 0.771174 0.493659
0.619338 0.214374 0.813807 0.546380
0.570903 0.207295 0.836738 0.524154
0.564522 0.245828 0.717299 0.555016
0.564681 0.273515 0.788525 0.492552
0.556759 0.261036 0.699977 0.463956
0.546435 0.210805 0.704640 0.610363
0.470554 0.275600 0.764644 0.592247
0.539473 0.157143 0.793952 0.560701
0.494241 0.268427 0.785553 0.637511
0.537544 0.178270 0.762282 0.551674
0.604564 0.249302 0.790336 0.580571
0.556683 0.236905 0.799903 0.503776
0.580000 0.238104 0.810227 0.513934
0.571512 0.217340 0.790517 0.489593
0.338869 0.668752 0.095382 0.502551
0.426827 0.674140 0.053559 0.456722
0.481404 0.669914 -0.019651 0.548089
0.333334 0.656525 0.075351 0.532937
0.381848 0.622476 0.041390 0.493555
0.405145 0.683218 -0.004761 0.521737
0.490264 0.620591 -0.018703 0.446179
0.505155 0.610187 0.078562 0.412848
0.446077 0.666329 0.006202 0.422884
0.407635 0.699009 -0.003398 0.530116
0.465618 0.599157 0.105383 0.455351
0.473976 0.625558 0.162741 0.470043
0.448462 0.568406 0.091637 0.551603
0.295930 0.637631 0.029584 0.492101
0.506839 0.668629 0.052590 0.564109
0.418696 0.747107 0.048463 0.454553
0.505631 0.619952 0.007433 0.448678
0.419332 0.644924 0.079336 0.549923
0.356453 0.656737 0.018568 0.559580
0.346230 0.599879 -0.025621 0.477256
0.396877 0.724107 0.031265 0.399427
0.489212 0.651677 0.037743 0.438766
0.486163 0.587783 -0.032398 0.569964
0.442107 0.641971 0.060241 0.595585
0.457953 0.655803 -0.062803 0.510596
0.444367 0.653561 0.020768 0.389838
0.392808 0.681743 0.136034 0.573402
0.456239 0.732460 0.066817 0.428800
0.401601 0.657750 0.027444 0.457291
0.331990 0.652477 -0.022240 0.506092
0.434598 0.728324 0.027469 0.451131
0.529585 0.674885 0.039256 0.508731
0.461532 0.648844 0.059965 0.505458
0.496803 0.653600 0.058906 0.445319
0.430077 0.579713 -0.026007 0.500439
0.425159 0.628394 0.052327 0.423236
0.392237 0.745654 -0.031445 0.446028
0.419824 0.690312 0.075256 0.495187
0.466589 0.627273 0.113354 0.495822
0.521617 0.784077 0.003495 0.514387
0.500736 0.643729 0.021078 0.539180
0.594442 0.734794 -0.030471 0.537444
0.434147 0.611657 -0.001245 0.518745
0.454555 0.644597 -0.038302 0.418286
0.513345 0.658812 0.127919 0.447230
0.351119 0.640801 0.032556 0.463004
0.506500 0.596962 -0.035809 0.475448
0.440688 0.581920 0.036288 0.509598
0.520276 0.586877 -0.024187 0.453492
0.415303 0.625149 -0.026569 0.480496
0.482891 0.617664 -0.035966 0.573341
0.436546 0.597357 0.032489 0.393589
0.404591 0.702433 0.078931 0.557523
0.504462 0.680078 -0.058326 0.463107
0.399000 0.628461 0.019026 0.479916
0.451110 0.569504 -0.038328 0.545975
0.486587 0.696985 0.045262 0.531561
0.488542 0.696855 -0.047603 0.470688
0.423826 0.597567 0.041135 0.476075
0.359276 0.658905 -0.047522 0.471807
0.434650 0.541647 0.001049 0.534128
0.468630 0.674354 0.014541 0.512192
0.476517 0.625939 -0.031459 0.479528
0.426754 0.628853 -0.053429 0.554575
0.495230 0.608150 -0.014015 0.499717
0.399072 0.669585 0.058823 0.488464
0.562365 0.697901 0.020132 0.514047
0.482873 0.616401 -0.045916 0.420118
0.370949 0.636300 0.057188 0.479059
0.468425 0.750545 0.009113 0.527278
0.434695 0.561004 0.005577 0.522075
0.486544 0.628032 0.078370 0.441719
0.515075 0.640144 0.059066 0.543302
0.478507 0.628053 0.024427 0.426678
0.380009 0.660013 -0.011212 0.514222
0.457409 0.662927 0.092149 0.482517
0.350025 0.610846 -0.011265 0.453910
0.406374 0.624101 0.118844 0.536535
0.410917 0.699567 -0.074160 0.434361
0.461433 0.663600 0.043912 0.484179
0.482938 0.708615 0.017146 0.484095
0.537116 0.596279 -0.017053 0.483581
0.460451 0.699724 0.014220 0.430983
0.485846 0.626656 0.043298 0.452588
0.538949 0.584918 -0.000397 0.585275
0.548439 0.545542 0.019097 0.440581
0.479977 0.654150 0.031593 0.422900
0.445463 0.577232 -0.025576 0.479905
0.483163 0.567565 0.062588 0.462356
0.444663 0.590788 0.043493 0.456106
0.415798 0.518680 0.103505 0.494891
0.414491 0.647878 0.073632 0.464333
0.494580 0.587348 0.038084 0.500060
0.519421 0.640345 0.066098 0.442161
0.440213 0.711812 0.079080 0.469402
0.374077 0.587379 -0.006558 0.489523
0.445004 0.679424 0.063049 0.459193
0.477664 0.529395 -0.031687 0.427408
0.433557 0.690828 0.056384 0.501660
0.407829 0.672116 -0.049310 0.457073
0.458326 0.661668 0.103247 0.464282
0.569170 0.743560 -0.026468 0.419705
0.439631 0.701582 0.010866 0.550698
0.503416 0.646449 -0.030168 0.512375
0.489872 0.688940 0.083675 0.553765
0.384302 0.668367 -0.060585 0.476804
0.468966 0.682309 0.046453 0.546295
0.448898 0.596362 -0.002655 0.480973
0.455239 0.629438 0.022267 0.480179
0.440977 0.655260 -0.009804 0.394327
0.451327 0.717393 0.050338 0.573927
0.401375 0.633547 0.113111 0.523195
0.469965 0.662775 0.038950 0.469980
0.466636 0.634557 0.042446 0.511783
0.578720 0.566452 -0.023565 0.432723
0.438815 0.684831 0.042874 0.426615
0.409620 0.670562 -0.054133 0.511512
0.460890 0.678259 -0.001269 0.451510
0.562565 0.697454 -0.002043 0.536821
0.519422 0.688457 0.003095 0.547168
0.443129 0.626734 0.033937 0.559862
0.488310 0.734554 0.067910 0.434435
0.498864 0.557628 0.080376 0.475560
0.403514 0.602004 0.065360 0.506151
0.393302 0.679236 0.067744 0.494371
0.368196 0.723704 0.006849 0.466041
0.427576 0.717739 -0.044789 0.436932
0.473485 0.670890 -0.049996 0.509479
0.469785 0.677679 0.043967 0.502486
0.520140 0.633802 -0.012865 0.503127
0.533209 0.602781 0.008824 0.502273
0.488690 0.657309 -0.029533 0.512251
0.366336 0.723629 0.073903 0.539535
0.457155 0.653951 0.079620 0.575367
0.505853 0.649847 -0.035375 0.465995
0.351269 0.717932 0.042316 0.497849
0.416056 0.699307 0.049360 0.462693
0.450485 0.576852 0.108728 0.517244
0.524385 0.724701 -0.023371 0.404710
0.516727 0.617394 -0.044932 0.519885
0.528732 0.768763 -0.046176 0.483034
0.485125 0.682823 0.056382 0.425922
0.486893 0.633216 -0.008605 0.580498
0.388655 0.655679 -0.014410 0.508741
0.502112 0.678965 0.085142 0.572739
0.379692 0.639946 -0.043628 0.500608
0.497928 0.607838 -0.060995 0.514916
0.462608 0.636139 -0.006538 0.432258
0.451268 0.687134 0.029669 0.509412
0.402330 0.616039 -0.049556 0.532374
0.352439 0.642258 -0.001838 0.518423
0.440988 0.604459 -0.000451 0.418544
0.450159 0.773029 0.029907 0.435065
0.443146 0.706233 -0.046523 0.519025
0.528347 0.689798 0.092829 0.510900
0.469145 0.679671 0.098270 0.486278
0.488816 0.681651 -0.038542 0.464031
0.433265 0.639264 0.043108 0.502452
0.430021 0.661804 0.005358 0.499680
0.464691 0.584345 0.021367 0.541869
0.369637 0.670065 -0.026229 0.461684
0.407454 0.643720 0.013852 0.531947
0.519418 0.677923 0.082000 0.450294
0.402365 0.697495 0.100182 0.463515
0.323666 0.673922 -0.014941 0.435852
0.442063 0.633619 -0.006727 0.492781
0.413959 0.651632 0.051155 0.454386
0.607135 0.230404 0.788826 0.519694
0.544304 0.152970 0.822659 0.488173
0.555497 0.204872 0.786141 0.499320
0.548773 0.291363 0.875560 0.579857
0.527913 0.204295 0.787487 0.521856
0.454782 0.143145 0.702567 0.514553
0.508552 0.269931 0.751477 0.485743
0.536069 0.170775 0.704477 0.606828
0.525787 0.159278 0.769237 0.510354
0.580371 0.260211 0.759263 0.460877
0.553222 0.294031 0.827319 0.504763
0.555252 0.141088 0.706526 0.535940
0.482222 0.198921 0.696445 0.510924
0.544866 0.218963 0.730744 0.574627
0.652922 0.341777 0.823089 0.520944
0.525687 0.195461 0.701447 0.487290
0.492949 0.303671 0.827198 0.489343
0.501712 0.236854 0.731790 0.562332
0.489444 0.315166 0.771962 0.520426
0.590052 0.121033 0.811785 0.581880
0.468758 0.249363 0.751053 0.533341
0.507118 0.286141 0.748054 0.500643
0.487434 0.165733 0.724693 0.496114
0.590000 0.222197 0.802233 0.487571
0.462857 0.233482 0.704747 0.531886
0.504336 0.246734 0.749070 0.430090
0.461392 0.191437 0.731584 0.532266
0.573201 0.232545 0.837806 0.493415
